ACC,F1,FDR,FN,FNR,FP,FPR,G,MCC,MODEL,NGENES,NGENES_AFFECTED,NMARKERS,NMARKERS_CAUSAL,NPV,NSAMPLES,PPV,REP,RSS,SIZE,TN,TNR,TP,TPR,TRANS
,,,0,,0,,,,Binomial,1000,1,100,1,,1000,,1,,1.5,0,,0,,none
,,,0,,0,,,,NBinomial,1000,1,100,1,,1000,,1,,1.5,0,,0,,none
,,,0,,0,,,,NBinomial2,1000,1,100,1,,1000,,1,,1.5,0,,0,,none
,,,0,,0,,,,NBinomial3,1000,1,100,1,,1000,,1,,1.5,0,,0,,none
,,,0,,0,,,,NBinomial4,1000,1,100,1,,1000,,1,,1.5,0,,0,,none
,,,0,,0,,,,Normal,1000,1,100,1,,1000,,1,,1.5,0,,0,,blom
,,,0,,0,,,,Normal,1000,1,100,1,,1000,,1,,1.5,0,,0,,boxcox
,,,0,,0,,,,Normal,1000,1,100,1,,1000,,1,,1.5,0,,0,,log
,,,0,,0,,,,Poisson,1000,1,100,1,,1000,,1,,1.5,0,,0,,none
,,,0,,0,,,,Binomial,1000,1,100,1,,1000,,10,,1.5,0,,0,,none
,,,0,,0,,,,NBinomial,1000,1,100,1,,1000,,10,,1.5,0,,0,,none
,,,0,,0,,,,NBinomial2,1000,1,100,1,,1000,,10,,1.5,0,,0,,none
0.99978,,1.0,21,1.0,1,1.000210044109263e-05,0.0,-4.583079856657992e-05,NBinomial3,1000,1,100,1,0.999789997899979,1000,0.0,10,,1.5,99978,0.9999899978995589,0,0.0,none
,,,0,,0,,,,NBinomial4,1000,1,100,1,,1000,,10,,1.5,0,,0,,none
,,,0,,0,,,,Normal,1000,1,100,1,,1000,,10,,1.5,0,,0,,blom
,,,0,,0,,,,Normal,1000,1,100,1,,1000,,10,,1.5,0,,0,,boxcox
,,,0,,0,,,,Normal,1000,1,100,1,,1000,,10,,1.5,0,,0,,log
,,,0,,0,,,,Poisson,1000,1,100,1,,1000,,10,,1.5,0,,0,,none
,,,0,,0,,,,Binomial,1000,1,100,1,,1000,,2,,1.5,0,,0,,none
,,,0,,0,,,,NBinomial,1000,1,100,1,,1000,,2,,1.5,0,,0,,none
,,,0,,0,,,,NBinomial2,1000,1,100,1,,1000,,2,,1.5,0,,0,,none
0.99978,,1.0,21,1.0,1,1.000210044109263e-05,0.0,-4.583079856657992e-05,NBinomial3,1000,1,100,1,0.999789997899979,1000,0.0,2,,1.5,99978,0.9999899978995589,0,0.0,none
,,,0,,0,,,,NBinomial4,1000,1,100,1,,1000,,2,,1.5,0,,0,,none
,,,0,,0,,,,Normal,1000,1,100,1,,1000,,2,,1.5,0,,0,,blom
,,,0,,0,,,,Normal,1000,1,100,1,,1000,,2,,1.5,0,,0,,boxcox
,,,0,,0,,,,Normal,1000,1,100,1,,1000,,2,,1.5,0,,0,,log
,,,0,,0,,,,Poisson,1000,1,100,1,,1000,,2,,1.5,0,,0,,none
,,,0,,0,,,,Binomial,1000,1,100,1,,1000,,3,,1.5,0,,0,,none
,,,0,,0,,,,NBinomial,1000,1,100,1,,1000,,3,,1.5,0,,0,,none
,,,0,,0,,,,NBinomial2,1000,1,100,1,,1000,,3,,1.5,0,,0,,none
0.99976,,1.0,21,1.0,3,3.0006301323277887e-05,0.0,-7.938206550133383e-05,NBinomial3,1000,1,100,1,0.999789993699811,1000,0.0,3,,1.5,99976,0.9999699936986767,0,0.0,none
,,,0,,0,,,,NBinomial4,1000,1,100,1,,1000,,3,,1.5,0,,0,,none
,,,0,,0,,,,Normal,1000,1,100,1,,1000,,3,,1.5,0,,0,,blom
,,,0,,0,,,,Normal,1000,1,100,1,,1000,,3,,1.5,0,,0,,boxcox
,,,0,,0,,,,Normal,1000,1,100,1,,1000,,3,,1.5,0,,0,,log
,,,0,,0,,,,Poisson,1000,1,100,1,,1000,,3,,1.5,0,,0,,none
,,,0,,0,,,,Binomial,1000,1,100,1,,1000,,4,,1.5,0,,0,,none
,,,0,,0,,,,NBinomial,1000,1,100,1,,1000,,4,,1.5,0,,0,,none
,,,0,,0,,,,NBinomial2,1000,1,100,1,,1000,,4,,1.5,0,,0,,none
0.99978,,1.0,21,1.0,1,1.000210044109263e-05,0.0,-4.583079856657992e-05,NBinomial3,1000,1,100,1,0.999789997899979,1000,0.0,4,,1.5,99978,0.9999899978995589,0,0.0,none
,,,0,,0,,,,NBinomial4,1000,1,100,1,,1000,,4,,1.5,0,,0,,none
,,,0,,0,,,,Normal,1000,1,100,1,,1000,,4,,1.5,0,,0,,blom
,,,0,,0,,,,Normal,1000,1,100,1,,1000,,4,,1.5,0,,0,,boxcox
,,,0,,0,,,,Normal,1000,1,100,1,,1000,,4,,1.5,0,,0,,log
,,,0,,0,,,,Poisson,1000,1,100,1,,1000,,4,,1.5,0,,0,,none
,,,0,,0,,,,Binomial,1000,1,100,1,,1000,,5,,1.5,0,,0,,none
,,,0,,0,,,,NBinomial,1000,1,100,1,,1000,,5,,1.5,0,,0,,none
,,,0,,0,,,,NBinomial2,1000,1,100,1,,1000,,5,,1.5,0,,0,,none
0.99978,,1.0,21,1.0,1,1.000210044109263e-05,0.0,-4.583079856657992e-05,NBinomial3,1000,1,100,1,0.999789997899979,1000,0.0,5,,1.5,99978,0.9999899978995589,0,0.0,none
,,,0,,0,,,,NBinomial4,1000,1,100,1,,1000,,5,,1.5,0,,0,,none
,,,0,,0,,,,Normal,1000,1,100,1,,1000,,5,,1.5,0,,0,,blom
,,,0,,0,,,,Normal,1000,1,100,1,,1000,,5,,1.5,0,,0,,boxcox
,,,0,,0,,,,Normal,1000,1,100,1,,1000,,5,,1.5,0,,0,,log
,,,0,,0,,,,Poisson,1000,1,100,1,,1000,,5,,1.5,0,,0,,none
,,,0,,0,,,,Binomial,1000,1,100,1,,1000,,6,,1.5,0,,0,,none
,,,0,,0,,,,NBinomial,1000,1,100,1,,1000,,6,,1.5,0,,0,,none
,,,0,,0,,,,NBinomial2,1000,1,100,1,,1000,,6,,1.5,0,,0,,none
,,,0,,0,,,,NBinomial3,1000,1,100,1,,1000,,6,,1.5,0,,0,,none
,,,0,,0,,,,NBinomial4,1000,1,100,1,,1000,,6,,1.5,0,,0,,none
,,,0,,0,,,,Normal,1000,1,100,1,,1000,,6,,1.5,0,,0,,blom
,,,0,,0,,,,Normal,1000,1,100,1,,1000,,6,,1.5,0,,0,,boxcox
,,,0,,0,,,,Normal,1000,1,100,1,,1000,,6,,1.5,0,,0,,log
,,,0,,0,,,,Poisson,1000,1,100,1,,1000,,6,,1.5,0,,0,,none
,,,0,,0,,,,Binomial,1000,1,100,1,,1000,,7,,1.5,0,,0,,none
,,,0,,0,,,,NBinomial,1000,1,100,1,,1000,,7,,1.5,0,,0,,none
,,,0,,0,,,,NBinomial2,1000,1,100,1,,1000,,7,,1.5,0,,0,,none
