GROUP	NSAMPLES	MODEL	TRANS	REP	CCC	DEV	NRMSD	R2
genes_protein_coding	226	Binomial	none	1	0.98278234685	143.324524388	0.0415823132536	0.00499200160752
genes_protein_coding	226	Binomial	none	10	0.982924995633	146.683627079	0.0410416361668	0.00512693745241
genes_protein_coding	226	Binomial	none	100	0.983009552431	142.542534494	0.0410213299487	0.00646138522833
genes_protein_coding	226	Binomial	none	11	0.983223370131	145.821689739	0.041317280196	0.00196661764365
genes_protein_coding	226	Binomial	none	12	0.983070717988	142.805660779	0.0409439095713	0.00401512704957
genes_protein_coding	226	Binomial	none	13	0.983168543115	141.903234173	0.0408562702533	0.00542817650479
genes_protein_coding	226	Binomial	none	14	0.982968547327	143.211888814	0.0409779773137	0.00647979185106
genes_protein_coding	226	Binomial	none	15	0.983707923816	140.629858178	0.0400802602547	0.0022539543265
genes_protein_coding	226	Binomial	none	16	0.982644006243	149.764520004	0.0413670427142	0.00618967084675
genes_protein_coding	226	Binomial	none	17	0.983010681191	145.217593846	0.0410134738195	0.00426809687273
genes_protein_coding	226	Binomial	none	18	0.983082660976	142.666008531	0.0409203413213	0.00171338101352
genes_protein_coding	226	Binomial	none	19	0.983068579774	145.57106717	0.0408728863977	0.0051166268301
genes_protein_coding	226	Binomial	none	2	0.982987934154	144.049970376	0.0415872004159	0.00349648566751
genes_protein_coding	226	Binomial	none	20	0.983204186277	140.524453433	0.0407846569149	0.00472072186524
genes_protein_coding	226	Binomial	none	21	0.982764216038	146.026102672	0.0418596231226	0.00627118951055
genes_protein_coding	226	Binomial	none	22	0.983210167461	139.878799644	0.0407762174131	0.00229700819067
genes_protein_coding	226	Binomial	none	23	0.983019193086	142.897680946	0.0412857131973	0.00506905012623
genes_protein_coding	226	Binomial	none	24	0.983210295299	140.223702664	0.0406904005264	0.00642579469223
genes_protein_coding	226	Binomial	none	25	0.983076722348	140.818763971	0.0409019792415	0.00483084604995
genes_protein_coding	226	Binomial	none	26	0.982734877633	148.698927072	0.0412650155542	0.00374922806638
genes_protein_coding	226	Binomial	none	27	0.983077291904	144.162004374	0.0409486853807	0.00385773646455
genes_protein_coding	226	Binomial	none	28	0.983170683431	142.393747306	0.0408402122007	0.00281087471193
genes_protein_coding	226	Binomial	none	29	0.982867858254	145.906700246	0.0410957209183	0.00372383163594
genes_protein_coding	226	Binomial	none	3	0.983044764791	145.325525441	0.0408841187222	0.00482403495825
